title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
엄마가 바람났다,,,2020-05-04,2020-10-23,월~금,오전 8:35,122,sbs,불새 2020,내 인생에 두 번째 결혼 따윈 없다! 결혼이라면 치를 떨던 싱글맘이 재력가 아빠를 원하는 자식들을 위해 돈 많은 남자랑 결혼하려는 좌충우돌 로맨스 가족 이야기,고흥식,,,안서정,,,현쥬니,이재황,문보령,김형범,,,,,
브람스를 좋아하세요?,클래식,멜로,2020-08-31,2020-10-20,"월, 화",오후 10:00,16,sbs,펜트하우스,스물아홉 경계에 선 클래식 음악 학도들의 아슬아슬 흔들리는 꿈과 사랑에 관한 이야기,조영민,,,류보리,,,박은빈,김민재,김성철,박지현,,,,,
내가 가장 예뻤을 때,,,2020-08-19,2020-10-15,"수, 목",오후 9:20,16,mbc,나를 사랑한 스파이,"한 여자를 지켜주고 싶었던 형제. 그리고 그들 사이에서 갈 수 없는 길, 운명 속에 갇혀버린 한 여자의 가슴 아픈 사랑 이야기",오경훈,송연화,,조현경,,,임수향,지수,하석진,황승언,,,,,
연애는 귀찮지만 외로운 건 싫어!,로맨틱 코미디,,2020-08-11,2020-10-13,화,오후 10:50,10,mbc every1,,"연애는 하고 싶은데 심각한 건 부담스럽고, 자유는 누리고 싶은데 외로운 건 싫은 젊은이들이 코리빙 하우스(co-living house)에 모여 살면서 벌어지는 이야기를 그린 로맨스 드라마",이현주,,,조진국,최유정,,지현우,김소은,박건일,공찬,,,,,
미씽: 그들이 있었다,미스터리,판타지,2020-08-29,2020-10-11,"토, 일",오후 10:30,12,ocn,써치,"실종된 망자들이 모인 영혼 마을을 배경으로, 사라진 시체를 찾고 사건 배후의 진실을 쫓는 미스터리 추적 판타지",민연홍,,,반기리,정소영,,고수,허준호,안소희,하준,,,,,
기막힌 유산,코미디,가족,2020-04-20,2020-10-09,월~금,오후 8:30,122,kbs1,누가 뭐래도,"서른셋의 무일푼 처녀 가장이 팔순의 백억 자산가와 위장결혼을 작당, 꽃미남 막장 아들 넷과 가족애를 찾아가는 과정을 그린 유쾌하면서도 따뜻하고 교훈적인 가족극",김형일,,,김경희,,,박인환,강세정,신정윤,강신조,,,,,
시네마틱드라마 SF8,SF,,2020-08-14,2020-10-09,금,오후 10:10,8,mbc,,"가까운 미래를 배경으로 기술발전을 통해 완전한 사회를 꿈꾸는 인간들의 이야기, 한국판 오리지널 SF 앤솔러지(anthology) 시리즈",,,,,,,문소리,이동휘,이연희,이유영,,,,,
비밀의 숲 2,범죄,스릴러,2020-08-15,2020-10-04,"토, 일",오후 9:00,16,tvn,스타트업,"""침묵을 원하는 자, 모두가 공범이다."" 검경수사권 조정 최전선의 대척점에서 다시 만난 고독한 검사 황시목과 행동파 형사 한여진이 은폐된 사건들의 진실로 다가가는 내부 비밀 추적극",박현석,,,이수연,,,조승우,배두나,최무성,김영재,,,,,
악의 꽃,서스펜스 멜로,,2020-07-29,2020-09-23,"수, 목",오후 10:50,16,tvn,구미호뎐,14년간 사랑해 온 남편이 피도 눈물도 없는 연쇄살인마로 의심된다면? 사랑마저 연기한 남자 희성과 그의 실체를 의심하기 시작한 아내 지원. 외면하고 싶은 진실 앞에 마주 선 두 사람의 고밀도 감성 추적극이 시작된다.,김철규,,,유정희,,,이준기,문채원,장희진,서현우,,,,,
한 번 다녀왔습니다,가족,로맨스,2020-03-28,2020-09-13,"토, 일",오후 7:55,100,kbs2,오! 삼광빌라!,바람 잘 날 없는 송가네의 파란만장한 이혼 스토리로 시작해 결국 사랑과 가족애로 따뜻하게 스며드는 이야기를 그린 드라마,이재상,,,양희승,안아름,,천호진,차화연,김보연,이정은,,,,,
우아한 친구들,,,2020-07-10,2020-09-05,"금, 토",오후 10:50,17,jtbc,경우의 수,갑작스러운 친구의 죽음으로 평화로운 일상에 균열이 생긴 20년 지기 친구들과 그 부부들의 이야기를 그린 미스터리 드라마,송현욱,박소연,,박효연,김경선,,유준상,송윤아,배수빈,한다감,,,,,
"우리, 사랑했을까",로맨스,,2020-07-08,2020-09-02,"수, 목",오후 9:30,16,jtbc,사생활,"14년 차 생계형 독수공방 싱글맘 앞에 나쁜데 끌리는 놈, 잘났는데 짠한 놈, 어린데 설레는 놈, 무서운데 섹시한 놈이 나타나며 펼쳐지는 '인생 로맨스 재개봉' 드라마",김도형,,,이승진,,,송지효,손호준,송종호,구자성,,,,,
그놈이 그놈이다,로맨틱 코미디,판타지,2020-07-06,2020-09-01,"월, 화",오후 9:30,16,kbs2,좀비탐정,'그놈이 그놈'이기에 '비혼주의자'가 된 한 여자가 어느 날 상반된 매력의 두 남자로부터 직진 대시를 받으면서 벌어지는 아슬아슬한 비혼 사수 로맨틱 코미디 드라마,최윤석,이호,,이은영,,,황정음,윤현민,서지훈,최명길,,,,,
위험한 약속,복수,멜로,2020-03-30,2020-08-28,월~금,오후 7:50,104,kbs2,비밀의 남자,"불의에 맞서다 벼랑 끝에 몰린 한 소녀, 그녀와의 약속을 저버리고 자신의 가족을 살린 남자, 7년 뒤 다시 만난 두 사람의 치열한 감성 멜로 복수극",김신일,,,마주희,,,박하나,고세원,강성민,박영린,,,,,
모범형사,범죄,수사,2020-07-06,2020-08-25,"월, 화",오후 9:30,16,jtbc,18 어게인,진실에 다가가려는 자와 은폐하려는 자들 간의 대결을 담은 리얼한 형사들의 세계를 그린 드라마,조남국,,,최진원,,,손현주,장승조,이엘리야,오정세,,,,,
출사표,로맨틱 코미디,정치,2020-07-01,2020-08-20,"수, 목",오후 9:30,16,kbs2,도도솔솔라라솔,취업 대신 출마를 선택한 취준생 구세라와 좌천당한 엘리트 사무관 서공명이 불량 정치인들을 응징하는 오피스 로맨스 코미디 드라마,황승기,최연수,,문현경,,,나나,박성훈,유다인,한준우,,,,,
트레인,미스터리,스릴러,2020-07-11,2020-08-16,"토, 일",오후 10:30,12,ocn,,"살인사건이 있던 밤, 순간의 선택으로 갈라진 두 개의 세계! 소중한 사람을 지키기 위해 연쇄살인에 개입하는 형사의 평행세계 미스터리",류승진,이승훈,,박가연,,,윤시윤,경수진,신소율,이항나,,,,,
십시일반,미스터리,블랙 코미디,2020-07-22,2020-08-13,"수, 목",오후 9:30,8,mbc,내가 가장 예뻤을 때,유명 화가의 수백억 대 재산을 둘러싼 사람들의 치열한 두뇌싸움을 그린 블랙코미디 추리극,진창규,,,최경,,,김혜준,오나라,김정영,남문철,,,,,
사이코지만 괜찮아,로맨틱 코미디,힐링,2020-06-20,2020-08-09,"토, 일",오후 9:00,16,tvn,비밀의 숲 2,버거운 삶의 무게로 사랑을 거부하는 정신 병동 보호사 강태와 태생적 결함으로 사랑을 모르는 동화 작가 문영이 서로의 상처를 보듬고 치유해가는 한 편의 판타지 동화 같은 사랑에 관한 조금 이상한 로맨틱 코미디,박신우,,,조용,,,김수현,서예지,오정세,박규영,,,,,
편의점 샛별이,로맨틱 코미디,,2020-06-19,2020-08-08,"금, 토",오후 10:00,16,sbs,,똘기 충만 4차원 알바생과 허당끼 넘치는 훈남 점장이 편의점을 무대로 펼치는 24시간 예측불허 코믹 로맨스,이명우,,,손근주,,,지창욱,김유정,한선화,도상우,,,,,
바람과 구름과 비,사극,로맨스,2020-05-17,2020-07-26,"토, 일",오후 10:50,21,tv조선,,"운명을 읽는 조선 최고의 역술가이자 명리를 무기로 활용하는 주인공의 아름다운 도전과 애절한 사랑, 그리고 그와 그의 사랑을 위협하는 킹메이커들과 펼치는 왕위쟁탈전을 담은 드라마",윤상호,,,방지영,,,박시후,고성희,전광렬,성혁,,,,,
(아는 건 별로 없지만) 가족입니다,멜로,가족,2020-06-01,2020-07-21,"월, 화",오후 9:00,16,tvn,청춘기록,"가족 같은 타인과, 타인 같은 가족의 오해와 이해에 관한 이야기",권영일,,,김은정,,,한예리,김지석,추자현,정진영,,,,,
미쓰리는 알고 있다,미스터리,,2020-07-08,2020-07-16,"수, 목",오후 9:30,4,mbc,,"재건축 아파트에서 벌어진 의문의 죽음, 자살? 타살? 미스터리한 죽음에 얽힌 용의자를 추적하며 밝혀지는 인간의 욕망과 진실을 다룬 미스터리 사건극",이동현,,,서영희,,,강성연,조한선,박신아,김도완,,,,,
저녁 같이 드실래요,로맨스,,2020-05-25,2020-07-14,"월, 화",오후 9:30,32,mbc,,이별의 상처와 홀로(Alone) 문화로 인해 사랑 감정이 퇴화된 두 남녀가 '저녁 식사'를 함께하며 썸 타듯 서로의 매력에 빠지게 되는 맛있는 한끼 로맨스 드라마,고재현,박봉섭,,이수하,,,송승헌,서지혜,이지훈,손나은,,,,,
