강경훈,연애조작단 시라노,tvn,2013-05-27,0.6,조선X파일 기찰비록,tvn,2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강대선,캐리어를 끄는 여자,mbc,2016-09-26,10,달콤살벌 패밀리,mbc,2015-11-18,9.1,황금무지개,mbc,2013-11-02,16.1,아이두 아이두,mbc,2012-05-30,10.5,마이 프린세스,mbc,2011-01-05,20.9,혼,mbc,2009-08-05,11,스포트라이트,mbc,2008-05-14,13.2,옥션하우스,mbc,2007-09-30,,결혼합시다,mbc,2005-10-08,15.1,내 이름은 김삼순,mbc,2005-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강병택,어셈블리,kbs2,2015-07-15,6,정도전,kbs1,2014-01-04,19.8,적도의 남자,kbs2,2012-03-21,15.2,거상 김만덕,kbs1,2010-03-06,17,해신,kbs2,2004-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강봉규,일말의 순정,kbs2,2013-02-18,8.8,선녀가 필요해,kbs2,2012-02-27,8.7,못말리는 결혼,kbs2,2007-11-05,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강신효,구미호뎐,tvn,2020-10-07,5,작은 신의 아이들,ocn,2018-03-03,3.9,상속자들,sbs,2013-10-09,25.6,마이더스,sbs,2011-02-22,16.4,타짜,sbs,2008-09-16,17.2,연인이여,sbs,2007-03-30,13.8,불량가족,sbs,2006-03-15,17.8,백만장자와 결혼하기,sbs,2005-11-26,12.3,올인,sbs,2003-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강영선,엄마가 뭐길래,mbc,2012-10-09,7.3,몽땅 내 사랑,mbc,2010-11-08,14.4,볼수록 애교만점,mbc,2010-03-22,14,논스톱 3,mbc,2002-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일수,신입사관 구해령,mbc,2019-07-17,7.3,솔로몬의 위증,jtbc,2016-12-16,1.7,전우치,kbs2,2012-11-21,15.2,바람의 나라,kbs2,2008-09-10,20.2,해신,kbs2,2004-11-24,,태조 왕건,kbs1,2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강철우,애타는 로맨스,ocn,2017-04-17,0.5,1%의 어떤 것,드라맥스,2016-10-05,1.3,처용 2,ocn,2015-08-23,1.8,처용,ocn,2014-02-09,2.7,무정도시,jtbc,2013-05-27,1,천 번째 남자,mbc,2012-08-17,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강효진,번외수사,ocn,2020-05-23,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고동선,죽어야 사는 남자,mbc,2017-07-19,14,아름다운 당신,mbc,2015-11-09,14.6,앙큼한 돌싱녀,mbc,2014-02-27,10.3,"나도, 꽃!",mbc,2011-11-09,8.1,폭풍의 연인,mbc,2010-11-17,7.7,내조의 여왕,mbc,2009-03-16,30.6,메리대구 공방전,mbc,2007-05-16,10.2,달콤한 스파이,mbc,2005-11-07,14.6,떨리는 가슴,mbc,2005-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고영탁,차달래 부인의 사랑,kbs2,2018-09-03,9.5,무궁화 꽃이 피었습니다,kbs1,2017-05-29,23.4,"고맙다, 아들아",kbs2,2015-02-11,8,산너머 남촌에는 1,kbs1,2007-10-24,16.5,하늘만큼 땅만큼,kbs1,2007-01-15,35.9,그 여자의 선택,kbs2,2006-05-01,15.8,소나기,kbs2,2005-05-08,,학교 2,kbs2,1999-05-08,,"임이여, 임일레라",kbs2,1986-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
