가성진,딱 너 같은 딸,mbc,2015-05-18,13.9,달래네 집,kbs2,2004-05-17,,언제나 두근두근,kbs2,2002-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강성진,우리 집 꿀단지,kbs1,2015-11-02,30,지성이면 감천,kbs1,2013-04-29,28.4,다 줄거야,kbs2,2009-10-12,17.2,드라마시티 - 늙은 양아치의 노래,kbs2,2007-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강윤경,트로트의 연인,kbs2,2014-06-23,9.2,망설이지마,sbs,2009-10-05,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강은경,낭만닥터 김사부 2,sbs,2020-01-06,27.1,여우각시별,sbs,2018-10-01,9.7,낭만닥터 김사부,sbs,2016-11-07,27.6,가족끼리 왜 이래,kbs2,2014-08-16,43.3,구가의 서,mbc,2013-04-08,19.5,영광의 재인,kbs2,2011-10-12,20.1,제빵왕 김탁구,kbs2,2010-06-09,49.3,강적들,kbs2,2008-04-14,9.4,비천무,sbs,2008-02-01,14.3,달자의 봄,kbs2,2007-01-03,19.9,안녕하세요 하느님,kbs2,2006-01-09,11.1,오! 필승 봉순영,kbs2,2004-09-13,,좋은사람,mbc,2003-08-27,,유리구두,sbs,2002-03-02,,호텔리어,mbc,2001-04-04,,고스트,sbs,1999-07-12,,백야 3.98,sbs,1998-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고봉황,당신만이 내사랑,kbs1,2014-11-24,31.5,내 인생의 단비,sbs,2012-04-02,10.7,매리는 외박중,kbs2,2010-11-08,9,착한여자 백일홍,kbs2,2007-10-01,14.8,열여덟 스물아홉,kbs2,2005-03-07,,아름다운 유혹,kbs2,2004-04-19,,결혼이야기,kbs2,2002-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고윤희,최고의 결혼,tv조선,2014-09-27,1.8,위대한 선물,sbs,2011-09-11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고은님,고고송,cgntv,2019-01-25,,천상의 화원 곰배령,채널a,2011-12-03,1.4,장난스런 KISS,mbc,2010-09-01,7.5,혼,mbc,2009-08-05,11,환생 - NEXT,mbc,2005-05-16,,첫사랑,sbs,2003-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고정원,드라마 스페셜 - 내 친구는 아직 살아있다,kbs2,2013-06-19,3.1,학교 2013,kbs2,2012-12-03,15.8,심야병원,mbc,2011-10-15,5.9,"런닝,구",mbc,2010-06-10,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곽경윤,빅 포레스트,tvn,2018-09-07,2.2,비정규직 아이돌,넷플릭스,2017-11-27,,미생물,tvn,2015-01-02,3.6,선녀가 필요해,kbs2,2012-02-27,8.7,태희혜교지현이,mbc,2009-03-02,14,그분이 오신다,mbc,2008-10-06,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곽경택,"친구, 우리들의 전설",mbc,2009-06-27,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곽인행,자유인 이회영,kbs1,2010-08-29,8,내 마음은 호수,mbc,1991-09-02,,조선백자 마리아상,kbs1,1988-12-23,,어쩌면 당신 얼굴,kbs1,1982-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구동회,히어로,ocn,2012-03-18,1.8,야차,ocn,2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구선경,오! 마이 레이디,sbs,2010-03-22,11.7,푸른 물고기,sbs,2007-04-07,9.2,새아빠는 스물아홉,kbs2,2005-02-10,,옥탑방 고양이,mbc,2003-06-02,,학교 2,kbs2,1999-05-08,,광끼,kbs2,1999-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
