title,start_date,end_date,day,time,num_eps,pd,writer,actor1,actor2,actor3,actor4,actor5,first_rate,avg_rate,rate_25,prev,prev_25,kbs
그놈이 그놈이다,2020-07-06,2020-09-01,"월,화",21:30:00,16,"최윤석, 이호",이은영,황정음,윤현민,서지훈,최명길,조우리,3.9,3.38125,2.95,본 어게인,2,2
출사표,2020-07-01,2020-08-20,"수,목",21:30:00,16,"황승기,최연수",문현경,나나,박성훈,유다인,한준우,,3.5,3.0875,2.975,영혼수선공,2.0125,2
영혼수선공,2020-05-06,2020-06-25,"수,목",22:00:00,32,"유현기,나수지",이향희,신하균,정소민,태인호,박예진,,4.7,2.5625,2.0125,어서와,1.11666,2
본 어게인,2020-04-20,2020-06-09,"월,화",22:00:00,32,"진형욱,이현석","김경민,정수미",장기용,이수혁,진세연,,,3.7,2.35937,2,계약우정,1.6,2
어서와,2020-03-25,2020-04-30,"수,목",22:00:00,24,지병헌,주화미,김명수,신예은,서지훈,윤예주,강훈,3.6,1.69167,1.11666,포레스트,4.0875,2
계약우정,2020-04-06,2020-04-14,"월,화",22:00:00,8,유영은,김주만,이신영,신승호,김소혜,오희준,,2.3,2.025,1.6,,,2
포레스트,2020-01-29,2020-03-19,"수,목",22:00:00,32,오종록,이선영,박해진,조보아,정연주,노광식,,7.1,5.01875,4.0875,99억의 여자,8.4,2
99억의 여자,2019-12-04,2020-01-23,"수,목",22:00:00,32,"김영조,유관모",한지훈,조여정,김강우,정웅인,오나라,이지훈,7.2,8.95313,8.4,동백꽃 필 무렵,18.72,2
조선로코-녹두전,2019-09-30,2019-11-25,"월,화",22:00:00,32,"김동휘,강수연","임예진,백소연",장동윤,김소현,강태오,정준호,,5.6,6.20625,6.575,너의 노래를 들려줘,3.3625,2
동백꽃 필 무렵,2019-09-18,2019-11-21,"수,목",22:00:00,40,차영훈,임상춘,공효진,강하늘,김지석,지이수,오정세,6.3,13.86,18.72,저스티스,5.85,2
너의 노래를 들려줘,2019-07-29,2019-09-24,"월,화",22:00:00,32,"이정미,최상열",김민주,연우진,김세정,송재림,박지연,,2.7,3.0125,3.3625,퍼퓸,4.8125,2
저스티스,2019-07-17,2019-09-05,"수,목",22:00:00,32,"조웅,황승기",정찬미,최진혁,손현주,나나,박성훈,,6.1,5.24375,5.85,"단, 하나의 사랑",6.5,2
퍼퓸,2019-06-03,2019-07-23,"월,화",22:00:00,32,"김상휘,유관모",최현옥,신성록,고원희,차예련,하재숙,,5,5.30938,4.8125,국민 여러분,6.245,2
"단, 하나의 사랑",2019-05-22,2019-07-11,"수,목",22:00:00,32,이정섭,최윤교,신혜선,김명수,이동건,김보미,,7.3,7.27188,6.5,닥터 프리즈너,13.475,2
국민 여러분,2019-03-18,2019-05-28,"월,화",22:00:00,36,김정현,한정훈,최시원,이유영,김민정,태인호,,6.8,6.15833,6.245,동네변호사 조들호2 : 죄와벌,6.74,2
닥터 프리즈너,2019-03-20,2019-05-15,"수,목",22:00:00,32,"황인혁,송민엽",박계옥,남궁민,권나라,김병철,최원영,,8.4,13.23125,13.475,왜그래 풍상씨,19.04,2
동네변호사 조들호2 : 죄와벌,2019-01-07,2019-03-26,"월,화",22:00:00,40,한상우,"김서연,위기훈,조혜빈",박신양,고현정,이민지,최승경,,6.1,5.83,6.74,땐뽀걸즈,2.1,2
왜그래 풍상씨,2019-01-09,2019-03-14,"수,목",22:00:00,40,진형욱,문영남,유준상,이시영,오지호,전혜빈,이창엽,5.9,12.1875,19.04,죽어도 좋아,2.3125,2
