강민경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강병택,한국방송대상 프로듀서상,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
강수연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일수,해양수산부 해양홍보 공로상,2005,국제에미상 드라마 시리즈 부문 2차심사 최우수상,2005,한국방송프로듀서연합회 드라마부문 작품상,2005,,,,,,,,,,,,,,,,,,,,,,
곽정환,한국방송대상 시상식 TV 연출상,2010,한국방송대상 대상,2010,서울드라마어워즈 한류특별상 연출상,2010,서울드라마어워즈 미니시리즈 부문 최우수상,2010,대한민국 콘텐츠 어워드 드라마 부분 문화체육관광부장관표창,2010,한국PD대상 TV부문 작품상,2011,,,,,,,,,,,,,,,,
권계홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기민수,한국PD대상 TV드라마부문 작품상,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
김규태,백상예술대상 TV부문 신인연출상,2006,백상예술대상 TV부문 드라마 작품상,2010,코리아드라마어워즈 연출상,2010,백상예술대상 TV부문 연출상,2013,,,,,,,,,,,,,,,,,,,,
김동휘,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김민태,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김상훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김상휘,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김성윤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영균,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영조,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김용수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김원석,한국방송대상 장편드라마부문 작품상,2009,백상예술대상 TV부문 신인연출상,2011,코리아드라마어워즈 연출상,2011,백상예술대상 TV부문 연출상,2015,서울 드라마 어워즈 미니시리즈 최우수작품상,2015,,,,,,,,,,,,,,,,,,
김정규,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김정민,뉴욕텔레비전페스티벌 TV영화 부문 금상,2010,백상예술대상 TV부문 연출상,2012,서울드라마어워즈 시리얼 시리즈부문 최우수상,2012,아시안TV어워즈 드라마시리즈 부문 최우수상,2012,뉴욕텔레비전페스티벌 미니시리즈 부문 동상,2013,휴스턴국제영화제 드라마 부문 대상,2013,서울 드라마 어워즈 한류드라마 우수 작품상,2015,,,,,,,,,,,,,,
김정현,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김종연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김종창,한국방송대상 지역사회부문 우수상,1993,남녀평등방송상 대상,2003,백상예술대상 방송부문 연출상,2006,,,,,,,,,,,,,,,,,,,,,,
김진우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김철규,한국가톨릭매스컴상 대상,2004,백상예술대상 작품상,2004,상하이 국제 TV 페스티벌 TV드라마부문 매그놀리아 대상,2005,,,,,,,,,,,,,,,,,,,,,,
김태훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김평중,휴스턴 국제 영화제 TV드라마시리즈부문 대상,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
김형석,국제 다큐멘터리 대상 특별상,2009,한국방송대상 장편 드라마 부문 작품상,2013,,,,,,,,,,,,,,,,,,,,,,,,
김형일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나수지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노상훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라준모,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모완일,백상에술대상 TV부문 연출상,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
문보현,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문준하,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박기호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박만영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박진석,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박찬홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박현석,백상예술대상 TV부문 연출상,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
배경수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백상훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서수민,한국방송대상 예능부문 작품상,2012,한국PD대상 예능부문 작품상,2012,백상예술대상 TV부문 예능작품상,2012,올해의 여성문화인상,2012,한국PD대상 올해의 PD상,2013,대한민국 대중문화예술상 국무총리상,2013,코리아 드라마 어워즈 연출상,2015,,,,,,,,,,,,,,
서주완,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성준해,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송민엽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송현욱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신용휘,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안준용,방송위원회대상 우수프로그램부문 대상,2005,코리아 UHD어워즈 드라마/TV영화부문 작품상,2015,,,,,,,,,,,,,,,,,,,,,,,,
양윤호,신영영화제 대상,1992,금관영화제 대상,1992,부산 동백 영화제 대상,1992,서울독립영화제 네이버상,1992,,,,,,,,,,,,,,,,,,,,
오상원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오종록,백상예술대상 시상식 드라마부문 작품상,2002,,,,,,,,,,,,,,,,,,,,,,,,,,
유관모,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유영은,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유종선,K-ICT 차세대 미디어대전 연출상,2016,서울 드라마 어워즈 작품상부문 단편 우수상,2017,,,,,,,,,,,,,,,,,,,,,,,,
유철용,한국방송대상 드라마부문 작품상,2003,백상예술대상 TV부문 대상,2003,아시아드라마컨퍼런스 감독상,2015,,,,,,,,,,,,,,,,,,,,,,
유현기,백상예술대상 TV부문 신인연출상,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
유호진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤석호,KBS 우수프로그램상,2004,방송위원회 이달의 좋은 프로그램상,2004,한국프로듀서협회 드라마 작품상,2004,한국방송대상 드라마작품상,2004,대통령 표창,2004,한국유네스코 올해의 인물,2004,KBS 연기대상 특별상,2004,,,,,,,,,,,,,,
