강다영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강윤경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강은경,코리아드라마어워즈 연속극부문 작가상,2010,한국방송작가상 드라마부문,2010,대한민국 콘텐츠 어워드 방송영상 그랑프리부문 국무총리표창,2010,KBS 연기대상 작가상,2010,대한민국 서울문화예술대상 드라마작가 대상,2011,KBS 연기대상 작가상,2014,,,,,,,,,,,,,,,,
고정원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권기경,대한민국 스토리 공모대전 대상,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
권기영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권민수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권혜주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권혜지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김경민,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김규완,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김민정,KBS 극본 공모전 우수상,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
김민주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김서연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김수진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김욱,KBS TV드라마 극본공모 가작,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
김원석,KBS 연기대상 작가상,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
김은숙,백상예술대상 TV부문 극본상,2005,SBS 특별상 시상식 드라마부문 특별상,2005,SBS 상반기 작품상 및 특별상 시상식 특별상,2009,백상예술대상 TV부문 극본상,2011,SBS 상반기 작품상 및 특별상 시상식 특별상,2011,서울 드라마 어워즈 한류특별상 작가상,2011,코리아드라마어워즈 작가상,2011,대한민국 콘텐츠 어워드 방송영상그랑프리 국무총리표창 최우수상 작가부문,2011,SBS 연기대상 공로상,2012,대한민국 대중문화예술상 대통령표창,2016,KBS 연기대상 작가상,2016,백상예술대상 TV부문 대상,2017,,,,
김은정,대종상영화제 각색상,1997,,,,,,,,,,,,,,,,,,,,,,,,,,
김은지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김은희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김의찬,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김인영,MBC 연기대상 작가부문 특별상,1996,MBC 연기대상 작가부문 특별상,2004,KBS 연기대상 작가상,2015,한국방송작가협회 한국방송작가상 드라마부문,2015,,,,,,,,,,,,,,,,,,,,
김재은,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김정민,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김주만,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김지선,KBS 연예대상 코미디부문 작가상,2003,,,,,,,,,,,,,,,,,,,,,,,,,,
김지연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김지우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진숙,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김태희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김현준,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노희경,한국방송대상 드라마부문 작가상,1990,MBC베스트극장 공모 우수작,1995,백상예술대상 TV부문 대상,1997,MBC연기대상 작가상,1997,백상예술대상 TV부문 극본상,1999,방송위원회 좋은프로그램상,1999,KBS연기대상 작가상,1999,KBS연기대상 작가상,2004,백상예술대상 TV부문 작품상,2004,한국방송작가상 드라마부문,2004,상하이국제TV페스티벌 최우수극본상,2005,한국방송프로듀서상 드라마부문 작가상,2005,코리아 드라마 어워즈 작가상,2016,백상예술대상 TV부문 극본상,2017
마창준,KBS 극본공모 우수상,2004,,,,,,,,,,,,,,,,,,,,,,,,,,
문선희,MBC 방송연예대상 코미디작가상,1996,,,,,,,,,,,,,,,,,,,,,,,,,,
문소산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문영남,MBC 문학상,1992,백상예술대상 TV극본상,1996,한국방송대상 TV작가상,1996,한국방송대상 대상,1996,한국방송프로듀서 작가부문 특별상,1996,KBS 연기대상 작가상,1997,KBS연기대상 작가상,2004,KBS연기대상 특별상,2006,SBS 연기대상 공로상,2008,KBS 연기대상 작가상,2013,,,,,,,,
문정민,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문현경,방송콘텐츠진흥재단 드라마극본공모전 사막의 별똥별 찾기 대상,,,,,,,,,,,,,,,,,,,,,,,,,,,
박계옥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박대영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박민주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박선자,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박성진,KBS TV드라마 극본 가작,1999,,,,,,,,,,,,,,,,,,,,,,,,,,
박연선,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박은영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박재범,코리아 드라마 어워즈 작가상,2013,대한민국 콘텐츠 대상 국무총리 표창,2017,,,,,,,,,,,,,,,,,,,,,,,,
박지은,MBC 연기대상 TV부문 올해의 작가상,2009,코리아드라마어워즈 작가상,2012,대한민국 콘텐츠 대상 문화체육관광부장관 표창,2012,K-드라마 스타 어워즈 작가상,2012,KBS 연기대상 작가상,2012,대한민국 대중문화예술상 국무총리표창,2014,,,,,,,,,,,,,,,,
박필주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박혜련,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백미경,MBC 프로덕션 영화 시나리오 공모 우수상,2000,경상북도 영상콘텐츠 시나리오 공모전 장려상,2012,SBS 극본공모전 대상,2013,MBC 극본공모 미니시리즈부문 우수작,2014,대한민국 콘텐츠대상 문화체육관광부장관 표창,2017,,,,,,,,,,,,,,,,,,
백소연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백운철,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서숙향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
설준석,,,,,,,,,,,,,,,,,,,,,,,,,,,,
손영목,백상예술대상 TV부문 극본상,1997,연기대상 올해의 작가상,2012,,,,,,,,,,,,,,,,,,,,,,,,
손지혜,KBS 드라마 극본 공모 최우수상,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
송지나,백상예술대상 극본상,1995,한국방송대상 작가상,1995,한국방송작가협회 드라마부문 한국방송작가상,1996,대한민국과학문화상,2000,,,,,,,,,,,,,,,,,,,,
신재원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안형조,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양진아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여지나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오상희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
